application_id|port_of_arrival|port_of_departure|company_name|position,
100000|Rajkot|Amritsur|Flipkart|SDE-2
100001|Mumbai|Chennai|Morgan Stanley|SDE-1
100002|Delhi|Kolkata|Vipro|SDE-3
100003|Banglore|Hydrabad|TCS|Trustee
100004|Amritsur|Pune|JIO|CEO
100005|Chennai|Rajkot|Reliance|CTO
100006|Kolkata|Mumbai|MIcrosoft|Manager
100007|Hydrabad|Delhi|Amazon|Team lead
100008|Pune|Banglore|Google|CSO
100009|Rajkot|Amritsur|Zomato|SDE-2
100010|Mumbai|Chennai|Swiggi|SDE-1
100011|Delhi|Kolkata|Flipkart|SDE-3
100012|Banglore|Hydrabad|Morgan Stanley|Trustee
100013|Amritsur|Pune|Vipro|CEO
100014|Chennai|Rajkot|TCS|CTO
100015|Kolkata|Mumbai|JIO|Manager
100016|Hydrabad|Delhi|Reliance|SDE-2
100017|Pune|Banglore|MIcrosoft|SDE-1
100018|Rajkot|Amritsur|Amazon|SDE-3
100019|Mumbai|Chennai|Google|Trustee
100020|Delhi|Kolkata|Zomato|CEO
100021|Banglore|Hydrabad|Swiggi|CTO
100022|Amritsur|Pune|Flipkart|Manager
100023|Chennai|Rajkot|Morgan Stanley|Team lead
100024|Kolkata|Mumbai|Vipro|CSO
